Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
229,Monmouth,MAAC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,0,25
249,Rider,MAAC,DI,44,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,0
264,Iona,MAAC,DI,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
266,Manhattan,MAAC,DI,25,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
266,Marist,MAAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
101,Ball State,MAC,FBS,182.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,45,27.5,0,0,3,55,0,0,0,0,107.5,0,75
106,Western Michigan,MAC,FBS,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,97,45
119,Central Michigan,MAC,FBS,142,33,37.5,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,34.5,45
128,Miami (OH),MAC,FBS,135.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,98
149,Kent State,MAC,FBS,111,0,0,55,16.5,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,59,25
154,Northern Illinois,MAC,FBS,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,75
196,Bowling Green,MAC,FBS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
229,Akron,MAC,FBS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
247,Eastern Michigan,MAC,FBS,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,25
266,Buffalo,MAC,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
266,Toledo,MAC,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
169,Howard,MEAC,FCS,96.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0,46.5,25,25
229,South Carolina State,MEAC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,50,0,0
266,Coppin State,MEAC,DI,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
266,Norfolk State,MEAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
114,Missouri State,Missouri Valley,FCS,150,33,37.5,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,50
169,Northern Iowa,Missouri Valley,FCS,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,0,0,0,0,0,0,18,53.5,25
173,Southern Illinois,Missouri Valley,FCS,93.5,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,20,20.5,53
175,Illinois State,Missouri Valley,FCS,93,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,59,13,0,0,0,0,0,0,43,25,25
220,Drake,Missouri Valley,FCS,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,30.5,0
229,Loyola Chicago,Missouri Valley,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
67,Air Force,Mountain West,FBS,354.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,0,0,0,0,0,0,68,184.5,102
91,San Diego State,Mountain West,FBS,205.5,0,0,0,0,43,28.5,0,0,0,0,0,0,17,50,33,25,0,0,0,0,0,0,0,0,0,0,0,0,103.5,57,45
96,New Mexico,Mountain West,FBS,195.5,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,0,0,0,0,0,0,0,54,31.5,110
106,Colorado State,Mountain West,FBS,167,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0,37.5,72.5,57
113,Boise State,Mountain West,FBS,158,0,0,0,0,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,25,47,0,0,0,0,0,0,0,0,57.5,70.5,30
116,Utah State,Mountain West,FBS,149.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,96
125,Wyoming,Mountain West,FBS,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,45
153,San Jose State,Mountain West,FBS,109.75,0,0,5,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.75,37,0
157,Fresno State,Mountain West,FBS,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,60,0,45
205,Nevada,Mountain West,FBS,72,0,0,0,0,49,22,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,47,0,25
253,UNLV,Mountain West,FBS,35.5,0,0,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,25,0
139,Fairleigh Dickinson,Northeast,DI,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,99,0
149,LIU Brooklyn,Northeast,DI,111,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,50
179,Mount St. Mary's,Northeast,DI,90,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65,0
185,Sacred Heart,Northeast,FCS,85,0,0,67,5,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,50
216,Wagner,Northeast,FCS,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,60,0,0
258,Bryant,Northeast,FCS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0
266,Central Connecticut State,Northeast,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
266,Saint Francis (PA),Northeast,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
134,Murray State,OVC,FCS,130,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,105,0
144,Southeast Missouri State,OVC,FCS,116.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,30,41.5,0,0,0,0,0,0,91.5,0,25
188,Tennessee Martin,OVC,FCS,83,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,30,0,53
229,Belmont,OVC,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
250,Tennessee State,OVC,FCS,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
266,SIU Edwardsville,OVC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
266,Tennessee Tech,OVC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,0,0
295,Austin Peay State,OVC,FCS,5,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2,Stanford,Pac-12,FBS,1352.25,7,73,1,100,18,x,17,x,0,0,2,90,9,64,9,64,9,64,13,63,8,70.5,0,0,1,100,9,x,688.5,465.25,198.5
12,USC,Pac-12,FBS,933.75,0,0,10,67.5,0,0,17,25,0,0,15,45,0,0,17,50,9,64,30,41.5,12,63.75,0,0,2,90,1,100,546.75,247,140
15,UCLA,Pac-12,FBS,906.5,17,50,5,72.75,0,0,0,0,0,0,0,0,3,83,17,50,0,0,41,31.5,0,0,3,55,3,83,3,83,508.25,199.25,199
26,Arizona State,Pac-12,FBS,788.25,0,0,9,69,2,90,0,0,0,0,0,0,9,64,17,50,0,0,8,70.5,15,60,0,0,0,0,0,0,403.5,359.75,25
27,California,Pac-12,FBS,780.75,0,0,55,16.5,0,0,0,0,0,0,6,72,0,0,9,64,0,0,21,52.5,18,54,0,0,3,83,9,25,367,313.75,100
30,Washington,Pac-12,FBS,730.25,0,0,49,22.5,43,28.5,0,0,0,0,4,80,17,50,33,25,33,25,25,47,12,63.75,0,0,0,0,0,0,341.75,105.5,283
31,Oregon,Pac-12,FBS,707,33,37.5,2,90,15,60,0,0,0,0,0,0,17,50,33,25,0,0,11,66,25,47,0,0,0,0,0,0,375.5,158.5,173
35,Arizona,Pac-12,FBS,639.5,17,50,31,40.5,19,54.5,0,0,0,0,0,0,5,78,0,0,17,50,62,8.5,0,0,0,0,0,0,0,0,281.5,358,0
44,Utah,Pac-12,FBS,532.5,0,0,0,0,27,47,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,97,267,168.5
51,Oregon State,Pac-12,FBS,512,9,64,45,27.5,49,22,0,0,0,0,14,48,7,73,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0,256,158,98
58,Colorado,Pac-12,FBS,418.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,68.25,0,0,0,0,0,0,0,0,68.25,200,150.5
90,Washington State,Pac-12,FBS,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8.5,54,18,0,0,0,0,0,0,26.5,55.5,125
111,Army West Point,Patriot,FBS,159.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,50,64.5,45
136,Navy,Patriot,FBS,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,103,0
152,Colgate,Patriot,FCS,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,25
163,Loyola Maryland,Patriot,DI,100,0,0,0,0,79,5,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,25
166,Boston University,Patriot,DI,99.5,0,0,61,10.5,0,0,0,0,9,53,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,0,0
183,Lehigh,Patriot,FCS,86,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,48.5,0
194,American,Patriot,DI,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53
225,Holy Cross,Patriot,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
246,Bucknell,Patriot,FCS,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,25
5,Florida,SEC,FBS,1180.75,17,50,26,46,10,66.75,5,70,0,0,0,0,5,78,9,64,5,73,1,100,1,100,0,0,0,0,0,0,647.75,417,116
7,Arkansas,SEC,FBS,1050.75,3,83,22,51.5,9,69,0,0,0,0,0,0,9,64,33,25,0,0,6,73.5,23,50.5,0,0,0,0,0,0,416.5,356.75,277.5
9,Kentucky,SEC,FBS,979.75,0,0,37,33.5,49,22,0,0,0,0,0,0,17,50,0,0,2,90,3,85,36,37,0,0,0,0,0,0,317.5,461.25,201
13,Tennessee,SEC,FBS,921,9,64,0,0,39,33.5,0,0,0,0,0,0,17,50,17,50,3,83,62,8.5,3,85,0,0,0,0,0,0,374,381,166
16,LSU,SEC,FBS,883.75,17,50,11,66,31,39.5,0,0,0,0,0,0,49,25,0,0,17,50,4,77.5,6,73.5,0,0,0,0,5,71.5,453,353.75,77
19,Georgia,SEC,FBS,865,33,37.5,5,72.75,12,63.75,0,0,0,0,0,0,17,50,9,64,17,50,45,27.5,5,75,0,0,0,0,0,0,440.5,324.5,100
20,Ole Miss,SEC,FBS,852,1,100,31,40.5,14,61.5,0,0,0,0,0,0,17,50,0,0,33,25,19,54.5,39,32.5,0,0,0,0,0,0,364,244.5,243.5
22,Alabama,SEC,FBS,841.25,0,0,24,50,0,0,0,0,0,0,0,0,17,50,33,25,0,0,15,59.25,11,66,0,0,0,0,0,0,250.25,344,247
25,Texas A&M,SEC,FBS,794.75,3,83,3,82.5,16,58.5,0,0,0,0,0,0,17,50,5,73,17,50,4,77.5,25,47,0,0,0,0,0,0,521.5,224.25,49
32,Auburn,SEC,FBS,706.25,5,78,3,82.5,10,66.75,0,0,0,0,0,0,33,37.5,9,64,17,50,62,8.5,46,26.5,0,0,0,0,0,0,413.75,242.5,50
37,South Carolina,SEC,FBS,627.5,0,0,14,61.5,31,39.5,0,0,0,0,0,0,0,0,17,50,9,64,23,50.5,0,0,0,0,0,0,0,0,265.5,219,143
57,Missouri,SEC,FBS,429.25,0,0,0,0,56,16,0,0,0,0,0,0,17,50,0,0,0,0,0,0,50,22.5,0,0,0,0,0,0,88.5,315.75,25
66,Vanderbilt,SEC,FBS,356,17,50,22,51.5,3,82.5,0,0,0,0,0,0,0,0,9,64,0,0,49,21.5,0,0,0,0,0,0,0,0,269.5,86.5,0
76,Mississippi State,SEC,FBS,270.5,0,0,17,57,61,10.5,0,0,0,0,0,0,9,64,0,0,33,25,0,0,30,41.5,0,0,0,0,0,0,198,22.5,50
122,East Tennessee State,SoCon,FCS,140,0,0,0,0,29,45,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,70,0,70
128,Furman,SoCon,FCS,135.5,0,0,31,40.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,65.5,0,70
182,Samford,SoCon,FCS,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,50
193,Tennessee Chattanooga,SoCon,FCS,78.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,41,0
196,Mercer,SoCon,FCS,75,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
218,Citadel,SoCon,FCS,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25
266,North Carolina Greensboro,SoCon,DI,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
183,Incarnate Word,Southland,FCS,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53
188,Southeastern Louisiana,Southland,FCS,83,49,25,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,53
192,Texas A&M Corpus Christi,Southland,DI,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,9,25,50,5,25
229,McNeese State,Southland,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
266,New Orleans,Southland,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,0,0
266,Northwestern State,Southland,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
59,Denver,Summit,DI,417.75,0,0,61,10.5,39,33.5,9,53,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,122,245.75,50
94,South Dakota State,Summit,FCS,200,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,54.5,108
105,North Dakota State,Summit,FCS,170.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,100
147,South Dakota,Summit,FCS,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,50
266,North Dakota,Summit,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
266,Oral Roberts,Summit,DI,25,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
88,Georgia State,Sun Belt,FBS,216.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,5,71.5,96.5,25,95
110,Coastal Carolina,Sun Belt,FBS,163.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,65,53.5,45
118,Louisiana,Sun Belt,FBS,143.5,33,37.5,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,56
141,Texas State,Sun Belt,FBS,123,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,0,0,91.5,31.5,0
143,Georgia Southern,Sun Belt,FBS,120,33,37.5,37,33.5,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0
162,South Alabama,Sun Belt,FBS,102.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,68,5,0,0,0,0,0,0,30,22.5,50
180,Arkansas State,Sun Belt,FBS,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,29
205,Texas Arlington,Sun Belt,DI,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,0,0,0,0,0,0,47,25,0
208,Appalachian State,Sun Belt,FBS,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25
252,Arkansas Little Rock,Sun Belt,DI,39.5,0,0,0,0,31,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0
196,Alabama State,SWAC,FCS,75,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50,25,0
221,Prairie View A&M,SWAC,FCS,55,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,68,5,0,0,0,0,0,0,30,0,25
229,Florida A&M,SWAC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
229,Jackson State,SWAC,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
258,Texas Southern,SWAC,FCS,30,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0
84,Sam Houston State,WAC,FCS,236.5,0,0,37,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0,66,100.5,70
93,Stephen F. Austin,WAC,FCS,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,0,0,0,0,0,0,29,150,25
137,Grand Canyon,WAC,DI,125,49,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,9,25,75,0,50
151,New Mexico State,WAC,FBS,110.5,49,25,61,10.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,60.5,50,0
191,Abilene Christian,WAC,FCS,81.5,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,33,25,62,8.5,68,5,0,0,0,0,0,0,54.5,0,27
248,Utah Valley,WAC,DI,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,25
264,Lamar,WAC,FCS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
266,Seattle,WAC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
29,BYU,WCC,FBS,738.75,0,0,37,33.5,21,52.5,0,0,0,0,0,0,0,0,0,0,0,0,9,68.25,39,32.5,0,0,0,0,0,0,186.75,184,368
62,Pepperdine,WCC,DI,375,0,0,31,40.5,3,82.5,0,0,0,0,0,0,0,0,5,73,17,50,0,0,0,0,5,40,0,0,0,0,286,0,89
78,Gonzaga,WCC,DI,264.5,33,37.5,0,0,0,0,0,0,0,0,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,114,75
108,San Diego,WCC,FCS,166,33,37.5,0,0,43,28.5,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0,0,0,141,0,25
117,Loyola Marymount,WCC,DI,145.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,33,25,0,0,0,0,0,0,0,0,0,0,3,83,145.5,0,0
128,Portland,WCC,DI,135.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.5
132,Santa Clara,WCC,DI,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
212,San Francisco,WCC,DI,64.5,0,0,0,0,31,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,25,0
229,Saint Mary's (CA),WCC,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
