Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
124,Kennesaw State,ASUN,FCS,138.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0,65,20.5,53
156,North Florida,ASUN,DI,106.5,0,0,45,27.5,24,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,29
157,Florida Gulf Coast,ASUN,DI,105,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,50
186,Lipscomb,ASUN,DI,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,0,0,0,0,0,5,0,79
188,Jacksonville,ASUN,FCS,83,0,0,0,0,0,0,9,53,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
229,Stetson,ASUN,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,9,25,50,0,0
251,Eastern Kentucky,ASUN,FCS,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,41.5,0,0
266,Jacksonville State,ASUN,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
133,Saint Joseph's,Atlantic 10,DI,131,0,0,0,0,0,0,17,25,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,53
137,VCU,Atlantic 10,DI,125,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0,0,0,125,0,0
141,Saint Louis,Atlantic 10,DI,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
161,Richmond,Atlantic 10,FCS,103,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,50,0
196,Dayton,Atlantic 10,FCS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50
196,Massachusetts,Atlantic 10,FBS,75,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0
214,Davidson,Atlantic 10,FCS,60.5,0,0,0,0,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,25,25
229,Fordham,Atlantic 10,FCS,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
256,Rhode Island,Atlantic 10,FCS,32,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
